structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Pallidum,3.0,1.0,4.0,0.7067319999999999,0.6735019999999999,1.3802339999999995,4.244890566721191,1.4847765856671549
Parabigeminal nucleus,0.0,0.0,0.0,0.018364,0.018667,0.0370309999999999,0.0,0.0
Parabrachial nucleus,48.0,37.0,85.0,0.515498,0.505223,1.020721,93.11384331268016,73.2349873224299
Paracentral nucleus,5.0,4.0,9.0,0.1438249999999999,0.14976,0.293585,34.76447071093345,26.709401709401707
Parafascicular nucleus,13.0,11.0,24.0,0.268652,0.290912,0.559564,48.38973839762965,37.81212187878121
Paraflocculus,12.0,8.0,20.0,2.204804,2.346086,4.55089,5.442660662807215,3.4099346741764793
"Paragigantocellular reticular nucleus, dorsal part",2.0,2.0,4.0,0.114478,0.1192319999999999,0.2337099999999999,17.470605705899825,16.77402039720882
"Paragigantocellular reticular nucleus, lateral part",4.0,2.0,6.0,0.249223,0.261654,0.510877,16.04988303647737,7.64368211454822
Paramedian lobule,8.0,10.0,18.0,0.930738,2.144604,3.075342,8.595329727592514,4.662865498712116
Paranigral nucleus,0.0,0.0,0.0,0.014436,0.013637,0.028073,0.0,0.0
Parapyramidal nucleus,2.0,0.0,2.0,0.045293,0.056385,0.1016779999999999,44.15693374252092,0.0
Parasolitary nucleus,0.0,0.0,0.0,0.0045899999999999,0.016184,0.020774,0.0,0.0
Parastrial nucleus,0.0,0.0,0.0,0.0538859999999999,0.0574649999999999,0.1113509999999999,0.0,0.0
Parasubiculum,3.0,1.0,4.0,0.356558,0.487977,0.844535,8.413778403513595,2.0492769126413743
Parasubthalamic nucleus,2.0,1.0,3.0,0.0982769999999999,0.1003599999999999,0.1986369999999999,20.35064155397501,9.964129135113602
Parataenial nucleus,6.0,3.0,9.0,0.129958,0.1153999999999999,0.2453579999999999,46.168762215485,25.996533795493956
Paratrigeminal nucleus,0.0,0.0,0.0,0.005656,0.046152,0.051808,0.0,0.0
Paratrochlear nucleus,0.0,1.0,1.0,0.008328,0.00834,0.016668,0.0,119.9040767386091
Paraventricular hypothalamic nucleus,2.0,0.0,2.0,0.088473,0.085909,0.1743819999999999,22.6057667310931,0.0
"Paraventricular hypothalamic nucleus, descending division",0.0,1.0,1.0,0.0728699999999999,0.081325,0.1541949999999999,0.0,12.296341838303105
Paraventricular nucleus of the thalamus,10.0,6.0,16.0,0.1976349999999999,0.2120949999999999,0.4097299999999999,50.59832519543606,28.2892100238101
Parvicellular motor 5 nucleus,7.0,0.0,7.0,0.047122,0.045935,0.093057,148.5505708586223,0.0
Parvicellular reticular nucleus,15.0,11.0,26.0,1.16944,1.130554,2.299994,12.826652072786974,9.729743117091266
Pedunculopontine nucleus,11.0,6.0,17.0,0.565102,0.551706,1.116808,19.465512420766515,10.875357527378712
Periaqueductal gray,83.0,105.0,188.0,2.289343,2.385481,4.674823999999999,36.25494301203445,44.01628015481993
